par_num,par_text,ents
762,"1 Географические и политические термины, упоминаемые в тексте, даются в вариантах, использовавшихся в описываемый период.",[]
763,"8 Уроки аварии на Чернобыльской АЭС В истории научно-технической разведки есть примеры операций, которые не подходят под категорию разведывательных, но также заслуживают внимания общественности. Пример такого рода, в частности, -участие НТР в ликвидации последствий аварии на Чернобыльской АЭС",['Чернобыльский Аэс']
764,"Эта авария, как известно, произошла 26 апреля 1986 года. 29 апреля руководство разведки поручило НТР срочно запросить у ряда резидентур информацию об опыте тушения пожаров на атомных электростанциях, прежде всего на американской АЭС ~Три Майлз Айленд~","['Нтр', 'Аэс ~Три', 'Майлз Айленд~']"
765,Почти в это же время по телевидению было передано официальное сообщение об аварии. На следующий день НТР запросила разрешение руководства Комитета госбезопасности СССР послать на место аварии своего представителя и подключиться к проводимым там работам. Бывший в то время председателем КГБ В.М. Чебриков дал указание использовать все возможности НТР для помощи в проведении работ в Чернобыле,"['Нтр', 'Комитет Госбезопасность', 'Ссср', 'Кгб', 'В.М. Чебриков', 'Чернобыле']"
766,"2 мая в Чернобыль для работы в аппарате правительственной комиссии по ликвидации последствий аварии на АЭС вылетел сотрудник НТР, специалист в области физики плазмы, кандидат физико-математических наук А.В. Белов1• К этому времени в Чернобыле собралась большая группа ученых-специалистов Академии наук СССР, Министерства энергетики и Министерства среднего машиностроения. Эта группа анализировала ситуацию на месте аварии, проводила экспертизу предлагаемых решений и готовила предложения для комиссии. Необходимая информация поступала к ним от различных министерств и ведомств. В задачу нашего сотрудника входило прежде всего обеспечение комиссии зарубежной научно-технической информацией","['Чернобыль', 'Аэс', 'Нтр', 'А.В. Белов1•', 'Чернобыле', 'Академия Наука', 'Ссср', 'Министерство Энергетика', 'Министерство Средний Машиностроение']"
767,"Авария породила множество сложнейших научно-технических проблем, в решении которых комиссия полагалась не только на высокую квалификацию и опыт советских ученых и специалистов, но и 112",[]
768,"учитывала опыт зарубежных экспертов, результаты научных и технических достижений Запада",['Запад']
769,"По прибытии в Чернобыль сотрудник НТР был принят председателем комиссии, заместителем Председателя Совета министров СССР И.С. Силаевым, который, в частности, сказал: «Мы придаем большое значение информации разведки. Несмотря на то, что у нас здесь собраны прекрасные специалисты и в нашем распоряжении находятся практически все лучшие научные силы страны, проблема, с которой мы столкнулись, настолько сложна, а главное, чересчур ответственна, что будет правильно, если мы сможем получать рекомендации по интересующим нас вопросам ведущих специалистов Запада. Нам нужна информация для сопоставления, ну и, конечно, любая другая информация, которая поможет справиться с этой бедой»","['Чернобыль', 'Нтр', 'Совет Министр', 'Ссср', 'И.С. Силаев', 'Запад']"
770,"Ответы на вопросы комиссии специалисты разведки искали в материалах, имевшихся в банке данных НТР или поступавших по нашим запросам из резидентур. Информационный поиск проводился одновременно в нескольких странах. Были задействованы все оперативные возможности, кроме того, наши сотрудники беседовали с зарубежными специалистами и с официальных позиций. Понимание за рубежом серьезности угрозы последствий чернобыльской катастрофы во многих случаях способствовало благожелательному отношению к нашим просьбам при обращении за информацией. Все получаемые сведения обобщались и передавались телеграфом в адрес комиссии или нашему представителю в Чернобыле. Параллельно высылались документальные материалы, использовавшиеся при подготовке обобщенной информации. Наиболее важные сведения докладывались правительству","['Нтр', 'Чернобыле']"
771,"С представителем НТР в Чернобыле А.В. Беловым поддерживалась связь по телефону ВЧ. В аэропорту «Внуково» постоянно дежурил сотрудник НТР, который по договоренности с Министерством гражданской авиации мог направлять информацию с экипажем рейсового самолета в Киев, откуда эти материалы автотранспортом доставлялись в Чернобыль","['Нтр', 'Чернобыле', 'А.В. Белов', 'Внуково', 'Министерство Гражданский Авиация', 'Киев', 'Чернобыль']"
772,Круглосуточное дежурство специалистов -офицеров разведки осуществлялось и в центральном аппарате НТР в Москве,"['Нтр', 'Москва']"
773,Особенно интенсивная работа проводилась в первой декаде мая,[]
774,"В этот период оперативно обобщалась и направлялась в Чернобыль зарубежная информация по широкому кругу проблем, связанных со строительством, эксплуатацией и обеспечением безопасности атомных электростанций. Надо сказать, что к середине 80-х годов в США и ряде стран Западной Европы были завершены серьезные исследовательские работы и накоплен значительный объем информации по этим вопросам","['Чернобыль', 'Сша', 'Западный Европа']"
775,"На одном из первых заседаний комиссии потребовалось ответить на вопрос, чем засыпать аварийный реактор, чтобы понизить темпе-13",[]
776,"ратуру процесса и предотвратить возможность развития цепной реакции. Серьезное беспокойство вызывала у Комиссии опасность того, что шестиметровый железобетонный поддон аварийного реактора мог прогореть и расплавленная радиоактивная масса проникла бы в верхний слой грунта под реактором. Плотность радиоактивных элементов при этом возрастет, и в расплаве образуется критическая масса, находящаяся под большим давлением, результатом появления которой будет атомный взрыв","['Комиссия Опасность', 'Расплав']"
777,"НТР направила в Чернобыль результаты зарубежных расчетов скорости прогорания поддона для различных материалов и температур, которые убедили комиссию в необходимости создания специальной системы охлаждения поддона. Не менее важно было определить температуру внутри реактора. Сделать это можно было лишь с помощью специальных самых современных приборов, которыми наша страна в то время не располагала. Приобрести образец такого прибора было поручено НТР, что и было выполнено в предельно сжатые сроки","['Нтр', 'Чернобыль']"
778,"Беспокоила комиссию и возможность попадания зараженных грунтовых вод в реку Припять. Радионуклиды накапливались в иле и оседали на дно реки. С началом паводка затопление прибрежных территорий грозило заражением больших площадей. Увеличение потоков грунтовых вод в этот период еще более усиливало опасность радиоактивного загрязнения. НТР обобщила западную информацию по этой проблеме и направила в комиссию, правительствам Украины и Белоруссии сообщение о зарубежном опыте строительства прибрежных заградительных дамб для защиты рек от зараженных грунтовых вод","['Припять', 'Нтр', 'Украина', 'Белоруссия']"
779,"Большая работа была проведена по сбору зарубежных норм допустимых доз радиоактивного облучения людей, животных, а также заражения продуктов питания и окружающей среды. 10 мая в Чернобыль был отправлен обобщенный на базе зарубежных материалов документ «0 зарубежных нормах облучения различных групп населения и допустимых уровнях радиоактивного заражения почв, воздуха, воды и сельскохозяйственных продуктов~",['Чернобыль']
780,"Разведка информировала комиссию и по таким вопросам, как механизм и оценка процессов распространения радиоактивных элементов в почве, зарубежные методы лечения больных при больших дозах облучения радиацией, проблемы использования зараженных участков территории для выращивания сельскохозяйственных продуктов, ожидаемый уровень заболеваний населения после аварии и ее отдаленные последствия. Материалы НТР оказались, в частности, полезными и при решении вопроса о предотвращении переноса радионуклидов с пылью и песком при сильных ветрах с зараженных участков. Используя эти материалы, комиссия организовала производство на месте специальной полимерной жидкости, которая при 114",['Нтр']
781,распылении покрывала зараженные участки поверхности почвы тонкой полимерной пленкой,[]
782,Примерно в это же время НТР подготовила и разослала в заинтересованные министерства и ведомства ряд обобщенных документов по вопросам предотвращения и ликвидации последствий аварий на АЭС,"['Нтр', 'Аэс']"
783,"Эффективность участия НТР в информационном обеспечении работ по ликвидации последствий аварии на Чернобыльской АЭС объясняется тем, что в сферу ее информационных интересов входил, помимо других проблем, широкий спектр вопросов атомной энергетики и сопутствующих ей областей науки и техники. Поручения комиссии, как правило, не выходили за пределы компетенции разведки",['Чернобыльский Аэс']
784,"В ее распоряжении имелись информационные фонды по большинству интересующих комиссию проблем. Кроме того, в центральном аппарате разведки и в составе зарубежных резидентур было много квалифицированных специалистов в области ядерной энергетики",[]
785,"Накопленный НТР в процессе работы по ядерной проблематике опыт обеспечивал ее специалистам знание ситуации с информацией в этой области за рубежом. Они хорошо знали, где искать нужные материалы и к кому обращаться. Важным фактором, обеспечившим успех работы НТР в Чернобыле, являлось присутствие на месте аварии А.В. Белова, квалифицированного специалиста в области ядерной энергетики. Он возвратился из Чернобыля, пробыв там несколько недель, и за свою работу был награжден орденом","['Нтр', 'Чернобыле', 'А.В. Белов', 'Чернобыля']"
786,"Свой положительный опыт НТР использовала еще раз, участвуя в работах по ликвидации последствий землетрясения в Армении","['Нтр', 'Армения']"
787,"Туда выезжал сотрудник НТР -врач по специальности. Помимо координации обеспечения работ информацией, приборами и техникой, поставляемой по каналам разведки, он оказывал и медицинскую помощь пострадавшим",['Нтр']
788,"Рассказывая об участии НТР в работах по ликвидации последствий катастрофы в Чернобыле, уместно будет еще упомянуть об одной беседе, которая произошла там между сотрудником НТР и членом комиссии, заместителем директора Института атомной энергии имени И.В. Курчатова АН СССР, ныне покойным академиком В.А. Легасовым. Он, в частности, сказал: «Авария в Чернобыле явилась серьезным уроком и предупреждением всем тем, кто связан с ядерной энергетикой и в нашей стране, и за рубежом. Думаю, что соответствующие выводы из этой катастрофы будут сделаны всеми. Но меня в не меньшей степени беспокоит то, что в нашей стране сегодня существует большое множество производств, которые потенциально опасны и, если там произойдет что-либо подобное Чернобылю, последствия могут оказаться более ужасными, чем в данном случае. Я имею в виду прежде всего химические производства и некоторые предприятия чисто оборонного значения. Будем надеяться, что и к этим проблемам 115","['Нтр', 'Чернобыле', 'Институт Атомный Энергия Имя И.В. Курчатов', 'Ссср', 'В.А. Легасовым', 'Чернобылю']"
789,"чернобыльская катастрофа привлечет внимание тех, кому положено этим заниматься»",[]
790,"Прошли годы. Чернобыльская катастрофа и ее последствия получили широкий общественный резонанс. Стали известными ранее не публиковавшиеся факты. Масштабы постигшей страну беды были очень значительными. В то же время появились признаки того, что внимание правительства страны, государственных структур и ряда должностных лиц, обязанных сделать все необходимое, чтобы помочь пострадавшим людям и быстрее ликвидировать ущерб от аварии и ее последствия, ослабло. Многие важные вопросы практически не решались",[]
791,"Стало известно, что расположенный в Киеве Всесоюзный научный центр радиационной медицины и ряд других аналогичных учреждений на Украине и в Белоруссии испытывали серьезную потребность в зарубежных информационных материалах. Совершенно не обеспеченной такими материалами оказалась и Брянская область России, серьезно пострадавшая от Чернобыльской аварии. Там обсуждался вопрос о создании крупного исследовательского центра для борьбы с последствиями катастрофы, а материалов для развертывания его работ недоставало. Сотрудники НТР выехали в Чернобыль, Киев, Минск и Брянск, выяснили потребность местных специалистов в информации. Через некоторое время им были направлены необходимые материалы по широкому спектру технических и медикобиологических проблем","['Киев', 'Всесоюзный Научный Центр Радиационный Медицина', 'Украина', 'Белоруссия', 'Брянский Область', 'Россия', 'Чернобыльский Авария', 'Нтр', 'Чернобыль', 'Минск', 'Брянск']"
792,"Накопленный в результате сотрудничества отечественной науки и специалистов с научно-технической разведкой России опыт позволил сопоставить различные пути борьбы с последствиями чрезвычайной ситуации на АЭС и избрать наиболее эффективные способы преодоления ущерба для населения и экологии страны, по-новому взглянуть на особенности развития современной атомной энергетики и смежных с ней областей, принять меры к предупреждению подобных катастроф в будущем","['Россия', 'Аэс']"
793,"Этот опыт явился немаловажным вкладом СВР в обеспечение безопасности жизненно важного сектора деятельности нашего общества, помог извлечь уроки для будущего",['Свр']
794,1 Фамилия изменена.,[]
795,"9 Юрий Владимирович Андропов Писать об Андропове сложно и ответственно. Сложно потому, что сам он был человек непростой и вряд ли с кем-нибудь до конца откровенный. Ответственно потому, что он стоял у руля нашего государства, а это само по себе требует серьезного отношения пишущего к оценке таких лидеров. Поэтому мои страницы об Андропове -это лишь наброски, попытка воссоздать некоторые черты его характера, вспомнить обстоятельства встреч и бесед с ним, а также высказать свое суждение об отношении Андропова к разведке","['Юрий Владимирович Андропов Писать', 'Андропове', 'Андропов']"
796,"Начну с того, что Комитет госбезопасности явно нуждался в приходе человека такого масштаба, как Андропов. С одной стороны, нужен был опытный государственный деятель, а с другой -человек, которому эта служба была бы интересна и который был бы способен в своей работе дойти до низов, до понимания проблем рядовых исполнителей. Андропов, на мой взгляд, в наибольшей степени обладал такими качествами. Где он находил время для всестороннего охвата деятельности КГБ, остается загадкой. Здесь, конечно, проявились и особый дар, и настрой на такую работу. Но при этом каждый человек сам по себе был ему интересен, он постоянно вел поиск деятельных и содержательных людей, чтобы использовать их наиболее эффективным образом","['Начну', 'Комитет Госбезопасность', 'Андропов', 'Кгб']"
797,"Каждый из предшественников Ю.В. Андропова проработал на посту председателя КГБ всего по нескольку лет, и лишь он поставил абсолютный рекорд -возглавлял службу безопасности государства в течение почти 15 лет. Этот период целиком приходится на так называемые застойные годы, но для сотрудников Комитета госбезопасности это были годы известной стабильности, организованности и порядка","['Ю.В. Андропов', 'Кгб', 'Комитет Госбезопасность']"
798,"Первый председатель КГБ И.А. Серов не был свободен от груза прошлых преступлений, тяготевших над органами государственной безопасности, и плохо вписывался в изменения в стране, происходившие в 50-е годы","['Кгб', 'И.А. Серов']"
799,117,[]
800,"А.Н. Шелепин, по общему впечатлению сотрудников, чувствовал себя на посту председателя человеком временным и не пустил глубоких корней в Комитете, а его преемник В.Е. Семичастный еще далеко не сформировался как государственный деятель, в нем было больше комсомольского задора, чем политической мудрости","['А.Н. Шелепин', 'Комитет', 'В.Е. Семичастный']"
801,"Что касается Ю.В. Андропова, то к моменту его назначения в КГБ в мае 1967 года за плечами у него был уже солидный послужной список: руководящая партийная работа в Карелии, посты посла СССР в Венгрии, заведующего отделом и секретаря ЦК КПСС. И он, как это почувствовалось довольно быстро, пришел в КГБ всерьез и надолго","['Ю.В. Андропов', 'Кгб', 'Карелия', 'Ссср', 'Венгрия', 'Цк', 'Кпсс']"
802,"Получив известие о назначении Андропова председателем, сотрудники разведки, естественно, попытались выяснить у знакомых в аппарате ЦК КПСС, что он собой представляет. Ответы были обнадеживающими, однозначными и весьма лаконичными: «Ребята, вам повезло»","['Андропов', 'Цк', 'Кпсс']"
803,"Однако для самого Юрия Владимировича приход в КГБ не был простым. Он серьезно беспокоился, как его здесь воспримут, очевидно, еще не сознавая в полной мере, какие изменения произошли в госбезопасности к 1967 году, когда в системе осталось лишь незначительное количество сотрудников, начинавших работу в органах в 30-е годы","['Юрий Владимирович', 'Кгб']"
804,"В Комитете Ю.В. Андропова встретили с надеждой на то, что при нем будет больше порядка, организованности, определенности и меньше сумасбродства, злоупотреблений и нарушений законности",['Комитет Ю.В. Андропов']
805,"Андропов привел с собой из аппарата ЦК КПСС небольшую команду, не более десяти человек. Держались они на первых порах тесной стайкой и все старались выяснить, нет ли вокруг Юрия Владимировича недоброжелательности или, не дай Бог, не зреет ли какая крамола. Эта группа была предана ему лично и стремилась всеми доступными средствами работать на повышение его авторитета, что порой выглядело даже смешным и наивным из-за прямолинейности в восхвалении достоинств нового председателя, в чем вообще не было никакой нужды. Надо сказать, что и Андропов заботился о своей команде. Из нее выпали, может быть, два-три человека, а остальные стали генералами и заняли ключевые посты в системе госбезопасности","['Андропов', 'Цк', 'Кпсс', 'Юрий Владимирович']"
806,"Пока команда врастала в жизнь КГБ, Андропов сам вел постоянный поиск новых людей для выдвижения на ответственные посты","['Кгб', 'Андропов']"
807,"Был он на первых порах склонен к быстрым очарованиям и разочарованиям. Смелый в суждениях, эрудированный человек сразу привлекал внимание Андропова, он его быстро двигал вверх, а потом, случалось, проявлялись организаторские изъяны и еще какие-нибудь негативные качества выдвиженца. Такого работника он быстро смещал с ключевой должности, переводя на менее ответственную. При этом Юрий Владимирович не таил зла, неприязни и сохранял благожелательность по отношению к тем, кого он двигал сначала вверх, а потом вниз. Порой он сетовал на то, что человек бывает трудно 118","['Андропов', 'Юрий Владимирович']"
808,"предсказуем. На своей должности вроде бы хорош, а передвинь его на одну ступеньку повыше, он уже растерялся и запаниковал или -еще хуже -неожиданно превратился в грубияна и диктатора",[]
809,"О том, что Андропов не был злопамятен и не стремился сводить личные счеты с людьми, причинившими ему когда-то неприятности, говорит такой факт. Однажды в разговоре со мной он поинтересовался, как чувствует себя и как работает один наш сотрудник старшего поколения, и рассказал с грустной усмешкой, что этот человек в момент, когда было сфабриковано так называемое ленинградское дело, выделил его, Андропова, вопрос в отдельное производство, что означало на практике неминуемый арест. Юрий Владимирович не только не пытался как-то наказать этого человека, но даже не увольнял его на пенсию, поскольку понимал, что не конкретный человек был повинен в подобных делах, а время тогда было жестокое","['Андропов', 'Юрий Владимирович']"
810,"Особое внимание Андропов уделял изучению руководящих сотрудников разведки и, надо сказать, преуспел в этом. Он достаточно хорошо знал руководителей крупных резидентур КГБ, регулярно общался с заместителями начальника Первого Главного управления, а также с начальниками ведущих подразделений разведки, в первую очередь с руководителями информационно-аналитической службы, управления внешней контрразведки, научно-технической разведки, службы активных мероприятий, начальниками географических отделов","['Андропов', 'Кгб', 'Первый Главный Управление']"
811,"Сила Андропова состояла в том, что он с одинаковой активностью и вниманием руководил всеми звеньями КГБ, постоянно укрепляя их и уточняя задачи по ходу меняющейся обстановки в государстве и тщательно учитывая при этом международную обстановку","['Сила Андропов', 'Кгб']"
812,"Но что касается разведки, то с уверенностью можно сказать, что ее делами он интересовался особо. Это, впрочем, и понятно, так как последние годы до прихода в КГБ Андропов как раз и занимался внешнеполитическими вопросами (посол СССР в Венгрии, заведующий отделом социалистических стран ЦК КПСС)","['Кгб', 'Андропов', 'Ссср', 'Венгрия', 'Цк', 'Кпсс']"
813,"И конечно, сами разведчики вызывали у него пристальный интерес",[]
814,"Он вел тщательный поиск среди них авторитетных людей, которые могли бы служить опорой в проводимых внешнеполитических акциях",[]
815,"Юрий Владимирович полностью доверял начальнику разведки В.А. Крючкову, которого привел с собой в КГБ из аппарата ЦК КПСС и назначил его в 1971 году первым заместителем, а в 1974 году -начальником разведки","['Юрий Владимирович', 'В.А. Крючкову', 'Кгб', 'Цк', 'Кпсс']"
816,"Из числа ветеранов разведки он особо выделял Ивана Ивановича Агаянца и довольно часто повторял фразу: <1Агаянц -это Дзержинский!~. Смысла этого определения он не раскрывал, но с уверенностью можно полагать, что он имел в виду фанатичную преданность Ивана Ивановича делу разведки, его целеустремленность, высокий профессионализм и высочайшую работоспособность, несмотря на очень слабое здоровье (болезнь легких)","['Иван Иванович Агаянца', 'Иван Иванович']"
817,119,[]
818,"Иногда Андропов, правда, заводил разговоры несколько двусмысленного свойства, проверяя, как люди относятся к тому или иному руководителю. Он вдруг начинал слегка поругивать какого-нибудь начальника, втягивая в обсуждение своего собеседника. Я сам не раз подвергался подобным испытаниям, когда Юрий Владимирович позволял себе критические высказывания в адрес человека, к которому, как я доподлинно знал, он относился с большим доверием. Подобный метод, возможно, оправдан, если председатель КГБ нуждается в дополнительной информации об отношении к тем людям, которые стоят вокруг него, но мне лично такие игры не очень нравились","['Андропов', 'Юрий Владимирович', 'Кгб']"
819,"Беседовать с Андроповым было совсем не просто. Он совершенно не терпел нудных докладов, построенных по стандартной схеме",['Андроповым']
820,"Раздражался, перебивал докладчика, задавал множество неожиданных вопросов, и обычно такой неудачный доклад кончался вежливой выволочкой и занимал минимум времени. И наоборот, если докладчик попадался содержательный и рассказывал интересные вещи, сопровождая их оригинальными выводами и предложениями, беседа затягивалась и по увлекательности своей становилась сродни, выражаясь языком литературных критиков, интеллектуальному пиршеству",[]
821,"Участвуя в переговорах Андропова с иностранными делегациями, присутствуя при докладах резидентов разведки, обсуждая бесконечные проблемы вроде афганской, я нередко покидал кабинет председателя с чувством неудовлетворенности самим собой, так как его уровень мышления, знания, умение нестандартно и увлекательно вести беседу заставляли осознавать, и иногда довольно остро, собственную некомпетентность в ряде вопросов, неспособность так же досконально разобраться в существе каких-то проблем. Иначе говоря, Андропов подавлял собеседника не своим положением, ибо держался просто и большей частью приветливо, а своей эрудированностью, знаниями и оригинальным видением вещей и событий",['Андропов']
822,"Если, принимая в своем кабинете иностранные делегации, советских представителей, сотрудников КГБ, Андропов вел беседы свободно, не сковывая их рамками строго заданной программы, то в подготовке своих публичных докладов и выступлений отличался особой тщательностью и пунктуальностью. Получив от помощников составленный по его тезисам материал, он на два-три дня отключался от текущих дел и со всей скрупулезностью работал над текстом, тщательно выверяя все его положения","['Кгб', 'Андропов']"
823,"Зная динамичную и даже резкую манеру бесед Андропова, я предупреждал резидентов, что к докладам и отчетам надо готовиться очень основательно, что необходимо знать все детали обсуждаемых вопросов и ориентироваться на ведение диалога, а не на спокойное повествование. «Учти, он не даст тебе спокойно говорить больше пяти минут, а будет задавать самые неожиданные вопросы», -примерно такую давал я «вводную» идущему «на ковер» к председателю",['Бесед Андропов']
824,120,[]
825,"Андропов был человеком скромным, но твердым. Он поставил себя так, что люди, как правило, не решались делать ему комплименты, пытавшийся нарушить это табу получал резкий отпор и мог потерять его расположение. Для человека такого уровня неприятие лести, несомненно, редкое качество, тем более что атмосфера вокруг Брежнева изобиловала обратными явлениями. С коррупцией и расточительством он боролся всегда, а одним из первых его актов после занятия поста генсека стало снятие с должности министра внутренних дел Щелокова","['Андропов', 'Брежнев', 'Щёлоков']"
826,"Вручаемые ему подарки Андропов, насколько мне известно, сдавал в государственную казну и требовал того же от своих заместителей",['Андропов']
